"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 16, 2023","1.3820","1.3670","1.3998","1.3411","1.37M","1.10%"
"Jun 15, 2023","1.3670","1.3300","1.3840","1.3110","1.76M","2.78%"
"Jun 14, 2023","1.3300","1.3880","1.4169","1.3132","2.53M","-4.18%"
"Jun 13, 2023","1.3880","1.3730","1.4060","1.3551","1.75M","1.09%"
"Jun 12, 2023","1.3730","1.3699","1.3819","1.3161","1.70M","0.22%"
"Jun 11, 2023","1.3699","1.3410","1.3899","1.3272","1.66M","2.16%"
"Jun 10, 2023","1.3410","1.5610","1.5628","1.2477","9.21M","-14.09%"
"Jun 09, 2023","1.5610","1.5730","1.6729","1.5351","4.60M","-0.77%"
"Jun 08, 2023","1.5730","1.5561","1.5850","1.5332","1.09M","1.09%"
"Jun 07, 2023","1.5561","1.6230","1.7028","1.5453","4.52M","-4.13%"
"Jun 06, 2023","1.6230","1.5710","1.6377","1.5481","1.71M","3.31%"
"Jun 05, 2023","1.5710","1.7260","1.7299","1.5228","3.88M","-8.98%"
"Jun 04, 2023","1.7260","1.7201","1.7570","1.7061","1.07M","0.34%"
"Jun 03, 2023","1.7201","1.7249","1.7310","1.7081","984.57K","-0.28%"
"Jun 02, 2023","1.7249","1.6911","1.7339","1.6693","1.23M","2.00%"
"Jun 01, 2023","1.6911","1.7221","1.7270","1.6752","1.09M","-1.80%"
"May 31, 2023","1.7221","1.7800","1.7949","1.6822","1.96M","-3.26%"
"May 30, 2023","1.7800","1.7720","1.7830","1.7422","1.37M","0.45%"
"May 29, 2023","1.7720","1.8110","1.8167","1.7562","1.69M","-2.15%"
"May 28, 2023","1.8110","1.7880","1.8308","1.7720","2.09M","1.29%"
"May 27, 2023","1.7880","1.7450","1.8100","1.7410","2.30M","2.46%"
"May 26, 2023","1.7450","1.7780","1.7940","1.7380","2.58M","-1.86%"
"May 25, 2023","1.7780","1.9221","1.9378","1.7681","5.50M","-7.50%"
"May 24, 2023","1.9221","1.9329","2.1326","1.9162","16.21M","-0.56%"
"May 23, 2023","1.9329","1.6520","1.9419","1.6361","17.77M","17.00%"
"May 22, 2023","1.6520","1.6300","1.6639","1.5990","1.04M","1.35%"
"May 21, 2023","1.6300","1.6660","1.6700","1.6100","786.60K","-2.16%"
"May 20, 2023","1.6660","1.6640","1.6830","1.6510","863.45K","0.12%"
"May 19, 2023","1.6640","1.6220","1.6890","1.6120","1.58M","2.59%"
"May 18, 2023","1.6220","1.6650","1.6710","1.5920","1.44M","-2.41%"
"May 17, 2023","1.6620","1.6090","1.6680","1.5811","1.65M","3.29%"
"May 16, 2023","1.6090","1.5920","1.6259","1.5690","1.71M","1.07%"
"May 15, 2023","1.5920","1.5490","1.6180","1.5260","1.50M","2.78%"
"May 14, 2023","1.5490","1.5290","1.5630","1.5010","1.08M","1.31%"
"May 13, 2023","1.5290","1.5740","1.5780","1.5180","1.44M","-2.86%"
"May 12, 2023","1.5740","1.5510","1.5760","1.4970","6.25M","1.48%"
"May 11, 2023","1.5510","1.6350","1.6400","1.5020","2.50M","-5.08%"
"May 10, 2023","1.6340","1.6060","1.6509","1.5344","3.78M","1.75%"
"May 09, 2023","1.6060","1.6040","1.6190","1.5830","1.72M","0.12%"
"May 08, 2023","1.6040","1.8060","1.8230","1.5776","3.48M","-11.28%"
"May 07, 2023","1.8079","1.8000","1.8280","1.7890","1.23M","0.44%"
"May 06, 2023","1.8000","1.8850","1.8989","1.7813","1.45M","-4.51%"
"May 05, 2023","1.8850","1.8640","1.8989","1.8382","1.15M","1.13%"
"May 04, 2023","1.8640","1.9100","1.9139","1.8480","1.41M","-2.41%"
"May 03, 2023","1.9100","1.8570","1.9100","1.8371","3.16M","2.85%"
"May 02, 2023","1.8570","1.8480","1.8630","1.8121","2.84M","0.49%"
"May 01, 2023","1.8480","1.8851","1.8990","1.8163","1.35M","-1.97%"
"Apr 30, 2023","1.8851","1.9340","1.9399","1.8741","1.18M","-2.52%"
"Apr 29, 2023","1.9340","1.9170","1.9460","1.9050","910.97K","0.88%"
"Apr 28, 2023","1.9170","1.9470","1.9617","1.8905","1.42M","-1.59%"
"Apr 27, 2023","1.9480","1.9120","2.0196","1.9061","2.54M","1.83%"
"Apr 26, 2023","1.9130","1.9591","2.0357","1.8299","3.97M","-2.35%"
"Apr 25, 2023","1.9591","1.9310","1.9669","1.8541","1.96M","1.45%"
