Date,Price,Open,High,Low,Vol.,Change %
19-Mar-23,6.27,5.88,6.47,5.86,14.34M,6.68%
18-Mar-23,5.88,6.4,6.53,5.83,18.97M,-8.12%
17-Mar-23,6.4,5.81,6.45,5.7,23.11M,10.04%
16-Mar-23,5.81,5.6,5.91,5.51,22.66M,3.75%
15-Mar-23,5.6,6.76,7.03,5.36,39.57M,-17.05%
14-Mar-23,6.76,6.38,7.55,6.13,33.33M,5.90%
13-Mar-23,6.38,5.7,6.55,5.69,39.74M,11.97%
12-Mar-23,5.7,4.95,5.73,4.83,16.87M,15.03%
11-Mar-23,4.95,5.31,5.5,4.67,22.28M,-6.66%
10-Mar-23,5.31,5.51,5.52,5.11,17.47M,-3.71%
09-Mar-23,5.51,5.78,6.18,5.3,19.64M,-4.60%
08-Mar-23,5.78,5.97,6.1,5.6,10.65M,-3.17%
07-Mar-23,5.97,6.1,6.19,5.8,10.05M,-2.14%
06-Mar-23,6.1,6.14,6.24,6.01,6.58M,-0.76%
05-Mar-23,6.14,5.92,6.27,5.88,8.61M,3.85%
04-Mar-23,5.92,6.26,6.32,5.71,7.77M,-5.51%
03-Mar-23,6.26,6.91,6.96,6.02,16.83M,-9.35%
02-Mar-23,6.91,7.27,7.33,6.65,10.37M,-5.00%
01-Mar-23,7.27,6.48,7.29,6.42,15.81M,12.16%
28-Feb-23,6.48,6.86,6.88,6.33,9.47M,-5.53%
27-Feb-23,6.86,6.9,7.26,6.68,10.32M,-0.62%
26-Feb-23,6.9,6.71,6.99,6.64,9.86M,2.85%
25-Feb-23,6.71,6.86,6.98,6.37,15.32M,-2.11%
24-Feb-23,6.86,7.85,8.02,6.63,23.46M,-12.61%
23-Feb-23,7.85,8.02,8.26,7.66,17.07M,-2.16%
22-Feb-23,8.02,8.18,9.13,7.54,43.09M,-1.93%
21-Feb-23,8.18,8.53,8.66,7.72,23.26M,-4.14%
20-Feb-23,8.53,8.48,8.69,8.08,28.17M,0.58%
19-Feb-23,8.48,7.53,9.41,7.53,55.09M,12.85%
18-Feb-23,7.52,7.66,7.9,7.3,28.66M,-1.83%
17-Feb-23,7.66,5.41,7.84,5.41,55.85M,41.34%
16-Feb-23,5.42,5.48,5.99,5.37,14.85M,-1.23%
15-Feb-23,5.48,5.09,5.49,5.01,7.61M,7.80%
14-Feb-23,5.09,4.87,5.1,4.75,5.99M,4.56%
13-Feb-23,4.87,4.92,4.96,4.69,6.29M,-1.10%
12-Feb-23,4.92,5.1,5.15,4.85,4.70M,-3.58%
11-Feb-23,5.1,4.85,5.12,4.84,7.14M,5.18%
10-Feb-23,4.85,4.79,5,4.74,9.12M,1.32%
09-Feb-23,4.79,5.44,5.51,4.65,10.39M,-11.94%
08-Feb-23,5.44,5.54,5.7,5.26,12.36M,-1.93%
07-Feb-23,5.54,5.11,5.56,5.11,9.06M,8.43%
06-Feb-23,5.11,5.3,5.4,5.08,6.70M,-3.47%
