Date,Price,Open,High,Low,Vol.,Change %
02-May-23,0.377,0.375,0.379,0.37,3.84M,0.48%
01-May-23,0.375,0.385,0.388,0.369,4.86M,-2.74%
30-Apr-23,0.386,0.397,0.397,0.383,5.08M,-2.64%
29-Apr-23,0.397,0.394,0.4,0.392,4.56M,0.76%
28-Apr-23,0.394,0.398,0.402,0.388,6.09M,-1.21%
27-Apr-23,0.398,0.391,0.403,0.388,8.04M,2.00%
26-Apr-23,0.391,0.397,0.412,0.37,11.53M,-1.74%
25-Apr-23,0.397,0.391,0.4,0.379,5.40M,1.77%
24-Apr-23,0.391,0.391,0.396,0.383,6.36M,0.00%
23-Apr-23,0.391,0.397,0.397,0.379,5.56M,-1.70%
22-Apr-23,0.397,0.383,0.398,0.379,5.78M,3.81%
21-Apr-23,0.383,0.4,0.406,0.378,13.07M,-4.27%
20-Apr-23,0.4,0.409,0.419,0.395,11.90M,-2.33%
19-Apr-23,0.409,0.456,0.456,0.4,17.91M,-10.11%
18-Apr-23,0.455,0.452,0.46,0.444,11.72M,0.77%
17-Apr-23,0.452,0.451,0.455,0.435,10.97M,0.31%
16-Apr-23,0.451,0.445,0.455,0.436,9.16M,1.31%
15-Apr-23,0.445,0.446,0.45,0.436,8.83M,-0.33%
14-Apr-23,0.446,0.434,0.449,0.426,16.95M,2.78%
13-Apr-23,0.434,0.42,0.434,0.414,11.40M,3.26%
12-Apr-23,0.42,0.431,0.432,0.41,16.55M,-2.58%
11-Apr-23,0.431,0.437,0.437,0.429,13.67M,-1.17%
10-Apr-23,0.437,0.443,0.446,0.42,19.26M,-1.37%
09-Apr-23,0.443,0.439,0.447,0.427,24.95M,0.74%
08-Apr-23,0.439,0.472,0.475,0.439,50.68M,-6.84%
07-Apr-23,0.472,0.419,0.497,0.418,143.36M,12.71%
06-Apr-23,0.419,0.427,0.429,0.411,11.58M,-2.08%
05-Apr-23,0.427,0.408,0.432,0.405,16.71M,4.84%
04-Apr-23,0.408,0.4,0.411,0.392,8.92M,1.98%
03-Apr-23,0.4,0.395,0.408,0.382,12.26M,1.32%
02-Apr-23,0.395,0.414,0.418,0.387,8.65M,-4.65%
01-Apr-23,0.414,0.406,0.417,0.403,10.11M,1.82%
31-Mar-23,0.406,0.391,0.414,0.381,10.66M,3.79%
30-Mar-23,0.392,0.4,0.407,0.383,12.12M,-2.00%
29-Mar-23,0.4,0.376,0.4,0.376,10.72M,6.12%
28-Mar-23,0.376,0.368,0.377,0.36,7.41M,2.38%
27-Mar-23,0.368,0.39,0.393,0.362,9.30M,-5.84%
26-Mar-23,0.39,0.381,0.392,0.378,5.81M,2.37%
25-Mar-23,0.381,0.386,0.392,0.375,6.67M,-1.07%
24-Mar-23,0.386,0.401,0.402,0.378,8.51M,-3.92%
23-Mar-23,0.401,0.384,0.405,0.378,9.79M,4.43%
22-Mar-23,0.384,0.409,0.409,0.373,14.79M,-6.14%
21-Mar-23,0.409,0.4,0.413,0.383,13.07M,2.26%
20-Mar-23,0.4,0.422,0.436,0.395,18.84M,-5.12%
19-Mar-23,0.422,0.409,0.434,0.409,13.94M,3.21%
18-Mar-23,0.409,0.421,0.439,0.407,21.86M,-2.88%
17-Mar-23,0.421,0.39,0.425,0.385,19.40M,7.90%
16-Mar-23,0.39,0.385,0.395,0.378,16.92M,1.41%
15-Mar-23,0.385,0.429,0.441,0.381,23.08M,-10.29%
14-Mar-23,0.429,0.406,0.441,0.396,22.82M,5.71%
13-Mar-23,0.406,0.383,0.41,0.375,20.08M,5.81%
12-Mar-23,0.384,0.351,0.384,0.347,11.61M,9.21%
11-Mar-23,0.351,0.357,0.364,0.333,10.39M,-1.51%
10-Mar-23,0.357,0.359,0.359,0.331,17.26M,-0.63%
09-Mar-23,0.359,0.391,0.397,0.354,15.96M,-8.19%
08-Mar-23,0.391,0.429,0.43,0.386,12.53M,-9.00%
07-Mar-23,0.429,0.425,0.448,0.419,19.23M,0.94%
06-Mar-23,0.425,0.416,0.427,0.407,8.70M,2.19%
05-Mar-23,0.416,0.423,0.437,0.415,7.14M,-1.47%
04-Mar-23,0.423,0.436,0.439,0.413,6.57M,-2.97%
03-Mar-23,0.436,0.465,0.465,0.419,13.87M,-6.06%
02-Mar-23,0.464,0.479,0.48,0.455,5.77M,-3.32%
01-Mar-23,0.479,0.462,0.487,0.457,6.73M,3.80%
28-Feb-23,0.462,0.483,0.484,0.455,7.73M,-4.37%
27-Feb-23,0.483,0.491,0.492,0.47,8.35M,-1.52%
26-Feb-23,0.49,0.471,0.495,0.463,10.61M,4.06%
25-Feb-23,0.471,0.499,0.5,0.456,12.40M,-5.55%
24-Feb-23,0.499,0.546,0.551,0.491,18.84M,-8.65%
23-Feb-23,0.546,0.487,0.567,0.487,58.96M,12.13%
22-Feb-23,0.487,0.502,0.506,0.47,12.18M,-2.94%
21-Feb-23,0.502,0.521,0.527,0.488,15.82M,-3.77%
20-Feb-23,0.522,0.485,0.538,0.476,26.79M,7.60%
19-Feb-23,0.485,0.489,0.506,0.472,13.66M,-0.96%
18-Feb-23,0.489,0.486,0.496,0.478,8.99M,0.61%
17-Feb-23,0.486,0.454,0.492,0.453,14.12M,7.24%
16-Feb-23,0.454,0.484,0.495,0.452,15.97M,-6.37%
15-Feb-23,0.484,0.443,0.485,0.438,13.11M,9.49%
14-Feb-23,0.443,0.428,0.444,0.416,11.89M,3.28%
13-Feb-23,0.428,0.447,0.452,0.413,11.58M,-4.09%
12-Feb-23,0.447,0.462,0.466,0.442,11.35M,-3.20%
11-Feb-23,0.462,0.44,0.462,0.435,9.11M,4.98%
10-Feb-23,0.44,0.444,0.449,0.431,12.87M,-0.88%
09-Feb-23,0.444,0.502,0.518,0.437,22.10M,-11.67%
08-Feb-23,0.502,0.514,0.529,0.479,18.86M,-2.31%
07-Feb-23,0.514,0.462,0.528,0.454,30.27M,11.35%
06-Feb-23,0.462,0.455,0.486,0.45,13.96M,1.39%
05-Feb-23,0.455,0.475,0.491,0.445,20.45M,-4.21%
04-Feb-23,0.475,0.471,0.489,0.463,10.02M,0.80%
03-Feb-23,0.471,0.459,0.473,0.452,8.80M,2.79%
02-Feb-23,0.459,0.472,0.487,0.454,14.19M,-2.72%
01-Feb-23,0.472,0.457,0.475,0.428,21.76M,3.20%
31-Jan-23,0.457,0.437,0.457,0.428,12.50M,4.51%
30-Jan-23,0.437,0.473,0.475,0.424,18.54M,-7.56%
29-Jan-23,0.473,0.461,0.478,0.447,19.85M,2.50%
28-Jan-23,0.461,0.425,0.498,0.425,59.29M,8.56%
27-Jan-23,0.425,0.417,0.426,0.402,11.08M,2.04%
26-Jan-23,0.417,0.426,0.432,0.411,12.72M,-2.32%
25-Jan-23,0.426,0.403,0.432,0.393,18.38M,5.86%
24-Jan-23,0.403,0.431,0.446,0.395,22.12M,-6.57%
23-Jan-23,0.431,0.432,0.446,0.425,17.19M,-0.24%
22-Jan-23,0.432,0.437,0.45,0.417,27.30M,-1.05%
21-Jan-23,0.437,0.437,0.453,0.419,34.89M,0.00%
20-Jan-23,0.437,0.412,0.444,0.407,44.29M,6.02%
19-Jan-23,0.412,0.363,0.453,0.354,95.97M,13.46%
18-Jan-23,0.363,0.36,0.429,0.36,57.07M,0.84%
17-Jan-23,0.36,0.36,0.374,0.35,13.57M,0.00%
16-Jan-23,0.36,0.361,0.38,0.35,21.73M,-0.36%
15-Jan-23,0.361,0.351,0.365,0.333,22.19M,3.15%
14-Jan-23,0.35,0.335,0.363,0.327,30.91M,4.73%
13-Jan-23,0.335,0.304,0.34,0.3,24.01M,10.21%
12-Jan-23,0.304,0.301,0.306,0.291,14.55M,0.87%
11-Jan-23,0.301,0.291,0.302,0.282,8.75M,3.25%
10-Jan-23,0.291,0.29,0.298,0.283,12.27M,0.36%
09-Jan-23,0.29,0.277,0.309,0.276,26.08M,4.74%
08-Jan-23,0.277,0.261,0.279,0.256,12.68M,6.15%
07-Jan-23,0.261,0.255,0.269,0.255,10.30M,2.25%
06-Jan-23,0.255,0.25,0.257,0.246,7.07M,2.10%
05-Jan-23,0.25,0.25,0.256,0.248,8.02M,0.22%
04-Jan-23,0.25,0.244,0.253,0.243,6.86M,2.11%
03-Jan-23,0.244,0.249,0.25,0.24,8.49M,-1.63%
02-Jan-23,0.249,0.243,0.251,0.237,5.85M,2.09%
01-Jan-23,0.243,0.241,0.244,0.239,2.93M,1.24%
31-Dec-22,0.24,0.237,0.244,0.237,3.90M,1.68%
30-Dec-22,0.237,0.24,0.241,0.23,7.49M,-1.28%
29-Dec-22,0.24,0.243,0.246,0.235,6.26M,-1.27%
28-Dec-22,0.243,0.257,0.258,0.242,7.60M,-5.45%
27-Dec-22,0.257,0.265,0.266,0.255,5.04M,-3.00%
26-Dec-22,0.265,0.261,0.265,0.26,2.88M,1.19%
25-Dec-22,0.261,0.264,0.265,0.258,3.21M,-0.78%
24-Dec-22,0.264,0.267,0.268,0.262,2.52M,-1.13%
23-Dec-22,0.267,0.262,0.268,0.261,5.11M,1.89%
22-Dec-22,0.262,0.26,0.263,0.252,9.22M,0.76%
21-Dec-22,0.26,0.264,0.265,0.257,4.25M,-1.84%
20-Dec-22,0.264,0.249,0.266,0.248,6.09M,6.40%
19-Dec-22,0.249,0.261,0.268,0.244,7.79M,-4.90%
18-Dec-22,0.261,0.263,0.264,0.258,3.66M,-0.65%
17-Dec-22,0.263,0.26,0.264,0.252,8.52M,1.01%
16-Dec-22,0.26,0.292,0.294,0.254,11.90M,-10.72%
15-Dec-22,0.292,0.3,0.301,0.291,6.14M,-2.91%
14-Dec-22,0.3,0.305,0.309,0.297,9.29M,-1.00%
13-Dec-22,0.304,0.3,0.305,0.285,17.77M,1.33%
12-Dec-22,0.3,0.303,0.303,0.292,5.98M,-1.25%
11-Dec-22,0.303,0.308,0.314,0.302,5.73M,-1.40%
10-Dec-22,0.308,0.305,0.31,0.304,9.58M,0.98%
09-Dec-22,0.305,0.306,0.308,0.302,20.07M,-0.30%
08-Dec-22,0.306,0.298,0.307,0.294,19.48M,2.43%
07-Dec-22,0.298,0.313,0.317,0.294,32.77M,-4.82%
06-Dec-22,0.313,0.319,0.319,0.311,14.66M,-1.65%
05-Dec-22,0.319,0.312,0.324,0.311,16.50M,2.08%
04-Dec-22,0.312,0.303,0.314,0.303,14.69M,3.18%
03-Dec-22,0.303,0.314,0.327,0.302,24.32M,-3.52%
02-Dec-22,0.314,0.305,0.315,0.301,10.69M,2.95%
01-Dec-22,0.305,0.313,0.313,0.303,7.08M,-2.54%
30-Nov-22,0.313,0.299,0.314,0.299,9.32M,4.40%
29-Nov-22,0.299,0.296,0.304,0.292,9.94M,0.96%
28-Nov-22,0.296,0.304,0.307,0.289,7.62M,-2.52%
27-Nov-22,0.304,0.303,0.315,0.302,6.98M,0.30%
26-Nov-22,0.303,0.303,0.311,0.3,13.88M,0.00%
25-Nov-22,0.303,0.306,0.306,0.294,5.82M,-0.73%
24-Nov-22,0.306,0.304,0.315,0.298,10.54M,0.69%
23-Nov-22,0.304,0.295,0.304,0.293,8.18M,3.01%
22-Nov-22,0.295,0.283,0.296,0.276,13.55M,3.99%
21-Nov-22,0.283,0.293,0.3,0.277,14.68M,-3.18%
20-Nov-22,0.293,0.315,0.319,0.29,8.45M,-6.94%
19-Nov-22,0.315,0.315,0.317,0.312,6.84M,2.30%
18-Nov-22,0.307,0.306,0.312,0.302,6.99M,0.40%
17-Nov-22,0.306,0.308,0.313,0.301,7.30M,-0.72%
16-Nov-22,0.308,0.321,0.328,0.308,8.88M,-4.03%
15-Nov-22,0.321,0.313,0.33,0.308,10.44M,2.81%
14-Nov-22,0.313,0.31,0.319,0.292,15.53M,0.69%
13-Nov-22,0.31,0.325,0.331,0.306,21.05M,-4.42%
12-Nov-22,0.325,0.35,0.351,0.322,13.74M,-7.22%
11-Nov-22,0.35,0.373,0.376,0.334,30.34M,-6.19%
10-Nov-22,0.373,0.323,0.382,0.318,40.47M,15.71%
09-Nov-22,0.323,0.405,0.406,0.312,46.61M,-20.28%
08-Nov-22,0.405,0.464,0.474,0.351,44.27M,-12.90%
07-Nov-22,0.464,0.447,0.471,0.438,14.49M,3.79%
06-Nov-22,0.447,0.48,0.483,0.446,13.44M,-6.74%
05-Nov-22,0.48,0.476,0.5,0.471,22.87M,0.84%
04-Nov-22,0.476,0.434,0.476,0.431,17.76M,9.75%
03-Nov-22,0.434,0.426,0.448,0.424,14.13M,1.88%
02-Nov-22,0.426,0.444,0.445,0.417,14.92M,-4.27%
01-Nov-22,0.444,0.453,0.461,0.444,10.38M,-1.96%
31-Oct-22,0.453,0.459,0.464,0.447,14.17M,-1.31%
30-Oct-22,0.459,0.456,0.484,0.45,24.55M,0.84%
29-Oct-22,0.456,0.449,0.465,0.448,18.03M,1.37%
28-Oct-22,0.449,0.436,0.452,0.429,14.11M,2.99%
27-Oct-22,0.436,0.443,0.462,0.434,16.71M,-1.50%
26-Oct-22,0.443,0.434,0.448,0.433,12.10M,1.99%
25-Oct-22,0.434,0.416,0.445,0.415,18.97M,4.51%
24-Oct-22,0.416,0.423,0.424,0.408,6.74M,-1.78%
23-Oct-22,0.423,0.415,0.424,0.407,6.57M,2.07%
22-Oct-22,0.415,0.415,0.416,0.409,6.05M,0.00%
21-Oct-22,0.415,0.415,0.415,0.396,8.47M,0.00%
20-Oct-22,0.415,0.419,0.429,0.411,8.51M,-0.98%
19-Oct-22,0.419,0.434,0.439,0.417,12.60M,-3.65%
18-Oct-22,0.434,0.436,0.443,0.426,9.98M,-0.26%
17-Oct-22,0.436,0.428,0.438,0.425,4.88M,1.66%
16-Oct-22,0.428,0.426,0.435,0.422,5.02M,0.69%
15-Oct-22,0.426,0.42,0.427,0.417,5.94M,1.41%
14-Oct-22,0.42,0.426,0.439,0.414,9.67M,-1.40%
13-Oct-22,0.426,0.428,0.429,0.388,18.35M,-0.67%
12-Oct-22,0.428,0.427,0.433,0.425,4.81M,0.41%
11-Oct-22,0.427,0.434,0.434,0.421,9.44M,-1.78%
10-Oct-22,0.434,0.452,0.457,0.434,7.86M,-3.97%
09-Oct-22,0.452,0.447,0.456,0.446,4.42M,1.30%
08-Oct-22,0.447,0.448,0.459,0.442,6.41M,-0.42%
07-Oct-22,0.448,0.447,0.453,0.441,6.91M,0.41%
06-Oct-22,0.447,0.454,0.461,0.444,11.39M,-1.54%
05-Oct-22,0.454,0.458,0.459,0.443,9.57M,-1.08%
04-Oct-22,0.458,0.451,0.461,0.449,10.07M,1.57%
03-Oct-22,0.451,0.436,0.453,0.431,10.89M,3.65%
02-Oct-22,0.436,0.45,0.454,0.435,9.58M,-3.32%
01-Oct-22,0.45,0.453,0.456,0.448,6.87M,-0.46%
30-Sep-22,0.453,0.462,0.467,0.449,17.15M,-2.13%
29-Sep-22,0.462,0.461,0.465,0.451,12.67M,0.21%
28-Sep-22,0.461,0.461,0.466,0.443,18.52M,0.00%
27-Sep-22,0.461,0.466,0.484,0.455,27.93M,-0.92%
26-Sep-22,0.466,0.458,0.467,0.448,23.16M,1.63%
25-Sep-22,0.458,0.468,0.476,0.454,18.82M,-2.38%
24-Sep-22,0.469,0.482,0.486,0.466,20.50M,-2.50%
23-Sep-22,0.482,0.481,0.494,0.461,31.92M,0.00%
22-Sep-22,0.481,0.455,0.486,0.453,22.01M,5.69%
21-Sep-22,0.455,0.476,0.495,0.449,42.14M,-4.23%
20-Sep-22,0.476,0.484,0.489,0.472,29.37M,-1.82%
19-Sep-22,0.484,0.469,0.487,0.457,34.17M,3.29%
18-Sep-22,0.469,0.515,0.519,0.461,28.47M,-8.95%
17-Sep-22,0.515,0.497,0.516,0.496,13.98M,3.55%
16-Sep-22,0.497,0.49,0.501,0.484,24.00M,1.53%
15-Sep-22,0.49,0.507,0.508,0.484,28.19M,-3.30%
14-Sep-22,0.507,0.494,0.511,0.489,20.06M,2.57%
13-Sep-22,0.494,0.543,0.547,0.488,37.75M,-8.99%
12-Sep-22,0.543,0.543,0.567,0.532,38.71M,-0.11%
11-Sep-22,0.543,0.546,0.559,0.53,24.18M,-0.60%
10-Sep-22,0.547,0.547,0.555,0.536,26.96M,-0.17%
09-Sep-22,0.547,0.524,0.554,0.524,23.13M,4.37%
08-Sep-22,0.524,0.521,0.531,0.505,16.38M,0.65%
07-Sep-22,0.521,0.483,0.525,0.475,14.45M,7.98%
06-Sep-22,0.483,0.532,0.549,0.482,18.02M,-9.30%
05-Sep-22,0.532,0.535,0.542,0.518,7.33M,-0.51%
04-Sep-22,0.535,0.52,0.538,0.518,10.76M,2.86%
03-Sep-22,0.52,0.508,0.523,0.502,4.89M,2.25%
02-Sep-22,0.508,0.517,0.531,0.501,7.02M,-1.64%
01-Sep-22,0.517,0.517,0.522,0.494,8.99M,0.00%
31-Aug-22,0.517,0.515,0.532,0.514,9.02M,0.42%
30-Aug-22,0.515,0.527,0.536,0.502,9.76M,-2.34%
29-Aug-22,0.527,0.489,0.529,0.486,9.12M,7.91%
28-Aug-22,0.488,0.508,0.52,0.487,7.99M,-3.93%
27-Aug-22,0.508,0.51,0.516,0.499,10.70M,-0.25%
26-Aug-22,0.51,0.571,0.576,0.503,18.55M,-10.81%
25-Aug-22,0.571,0.561,0.582,0.559,8.78M,1.79%
24-Aug-22,0.561,0.567,0.579,0.552,9.50M,-1.05%
23-Aug-22,0.567,0.553,0.572,0.534,8.54M,2.58%
22-Aug-22,0.553,0.57,0.57,0.53,11.44M,-2.99%
21-Aug-22,0.57,0.558,0.58,0.552,7.26M,2.12%
20-Aug-22,0.558,0.562,0.577,0.542,11.45M,-0.69%
19-Aug-22,0.562,0.616,0.618,0.552,22.81M,-8.79%
18-Aug-22,0.616,0.643,0.656,0.609,9.70M,-4.16%
17-Aug-22,0.643,0.673,0.691,0.637,13.58M,-4.51%
16-Aug-22,0.673,0.68,0.69,0.666,11.01M,-1.06%
15-Aug-22,0.68,0.698,0.723,0.671,14.04M,-2.52%
14-Aug-22,0.698,0.702,0.75,0.682,22.99M,-0.58%
13-Aug-22,0.702,0.704,0.717,0.696,8.63M,-0.26%
12-Aug-22,0.704,0.692,0.705,0.678,9.28M,1.73%
11-Aug-22,0.692,0.7,0.709,0.688,15.44M,-1.20%
10-Aug-22,0.7,0.671,0.701,0.654,15.79M,4.44%
09-Aug-22,0.671,0.699,0.709,0.654,16.71M,-4.11%
08-Aug-22,0.699,0.682,0.738,0.677,26.94M,2.54%
07-Aug-22,0.682,0.677,0.693,0.665,10.20M,0.72%
06-Aug-22,0.677,0.708,0.708,0.675,10.98M,-4.43%
05-Aug-22,0.708,0.683,0.709,0.671,22.43M,3.74%
04-Aug-22,0.683,0.63,0.727,0.63,62.43M,8.41%
03-Aug-22,0.63,0.608,0.659,0.595,21.58M,3.62%
02-Aug-22,0.608,0.644,0.654,0.598,21.08M,-5.80%
01-Aug-22,0.645,0.614,0.716,0.611,37.07M,5.16%
31-Jul-22,0.614,0.628,0.654,0.608,26.92M,-2.33%
30-Jul-22,0.628,0.603,0.707,0.601,43.46M,4.22%
29-Jul-22,0.603,0.612,0.633,0.59,24.42M,-1.53%
28-Jul-22,0.612,0.596,0.632,0.575,24.84M,2.54%
27-Jul-22,0.597,0.555,0.597,0.533,18.46M,7.60%
26-Jul-22,0.555,0.529,0.555,0.519,14.78M,4.81%
25-Jul-22,0.529,0.584,0.588,0.529,15.66M,-9.38%
24-Jul-22,0.584,0.594,0.605,0.583,12.00M,-1.60%
23-Jul-22,0.594,0.59,0.615,0.573,15.78M,0.63%
22-Jul-22,0.59,0.615,0.636,0.584,21.77M,-4.10%
21-Jul-22,0.615,0.594,0.624,0.572,30.32M,3.51%
20-Jul-22,0.594,0.624,0.68,0.585,38.11M,-4.80%
19-Jul-22,0.624,0.573,0.634,0.549,34.34M,8.96%
18-Jul-22,0.573,0.498,0.575,0.498,28.46M,15.09%
17-Jul-22,0.498,0.515,0.524,0.497,10.35M,-3.32%
16-Jul-22,0.515,0.502,0.517,0.487,12.03M,2.58%
15-Jul-22,0.502,0.501,0.515,0.496,12.02M,0.25%
14-Jul-22,0.501,0.484,0.505,0.465,12.80M,3.51%
13-Jul-22,0.484,0.464,0.486,0.443,16.50M,4.57%
12-Jul-22,0.463,0.48,0.491,0.462,11.02M,-3.50%
11-Jul-22,0.479,0.526,0.53,0.472,19.07M,-8.79%
10-Jul-22,0.526,0.557,0.557,0.52,10.47M,-5.67%
09-Jul-22,0.557,0.533,0.566,0.533,11.32M,4.57%
08-Jul-22,0.533,0.554,0.564,0.526,13.75M,-3.85%
07-Jul-22,0.554,0.54,0.566,0.537,12.21M,2.65%
06-Jul-22,0.54,0.539,0.547,0.522,13.07M,0.19%
05-Jul-22,0.539,0.518,0.57,0.518,32.72M,4.04%
04-Jul-22,0.518,0.479,0.523,0.468,13.62M,8.15%
03-Jul-22,0.479,0.477,0.485,0.461,7.22M,0.48%
02-Jul-22,0.477,0.479,0.489,0.459,9.52M,-0.43%
01-Jul-22,0.479,0.507,0.52,0.473,16.27M,-5.62%
30-Jun-22,0.507,0.522,0.526,0.464,16.11M,-2.77%
29-Jun-22,0.522,0.532,0.542,0.511,14.44M,-1.92%
28-Jun-22,0.532,0.57,0.595,0.525,17.53M,-6.68%
27-Jun-22,0.57,0.549,0.613,0.547,26.39M,3.83%
26-Jun-22,0.549,0.585,0.602,0.547,18.94M,-6.16%
25-Jun-22,0.585,0.544,0.622,0.533,34.61M,7.56%
24-Jun-22,0.544,0.523,0.555,0.514,15.80M,4.20%
23-Jun-22,0.522,0.464,0.539,0.463,27.59M,12.52%
22-Jun-22,0.464,0.469,0.486,0.446,13.48M,-1.07%
21-Jun-22,0.469,0.46,0.501,0.449,14.77M,1.93%
20-Jun-22,0.46,0.442,0.466,0.425,16.67M,4.10%
19-Jun-22,0.442,0.412,0.449,0.394,17.56M,6.98%
18-Jun-22,0.413,0.44,0.446,0.378,16.67M,-6.11%
17-Jun-22,0.44,0.427,0.452,0.423,11.34M,3.27%
16-Jun-22,0.426,0.484,0.492,0.417,18.85M,-11.95%
15-Jun-22,0.484,0.454,0.484,0.405,28.96M,6.56%
14-Jun-22,0.454,0.448,0.491,0.41,53.27M,1.33%
13-Jun-22,0.448,0.487,0.494,0.41,42.09M,-8.00%
12-Jun-22,0.487,0.538,0.543,0.487,25.15M,-9.44%
11-Jun-22,0.538,0.582,0.599,0.526,16.08M,-7.57%
