"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 21, 2023","0.7841","0.7652","0.7938","0.7601","19.55M","2.56%"
"Jul 20, 2023","0.7645","0.7581","0.7922","0.7522","21.98M","0.83%"
"Jul 19, 2023","0.7582","0.7561","0.7782","0.7491","17.51M","0.28%"
"Jul 18, 2023","0.7561","0.7742","0.7802","0.7407","18.27M","-2.34%"
"Jul 17, 2023","0.7742","0.7561","0.7899","0.7382","26.30M","2.39%"
"Jul 16, 2023","0.7561","0.7721","0.7933","0.7477","19.10M","-2.07%"
"Jul 15, 2023","0.7721","0.7720","0.8010","0.7582","24.67M","0.01%"
"Jul 14, 2023","0.7721","0.8030","0.8330","0.7519","32.83M","-3.85%"
"Jul 13, 2023","0.8029","0.7191","0.8051","0.7130","37.25M","11.66%"
"Jul 12, 2023","0.7191","0.7320","0.7422","0.7129","16.08M","-1.76%"
"Jul 11, 2023","0.7320","0.7251","0.7411","0.7170","12.69M","0.95%"
"Jul 10, 2023","0.7251","0.7250","0.7479","0.7038","22.15M","0.02%"
"Jul 09, 2023","0.7250","0.7249","0.7490","0.7210","15.63M","0.00%"
"Jul 08, 2023","0.7249","0.7319","0.7331","0.7070","11.39M","-0.95%"
"Jul 07, 2023","0.7319","0.7020","0.7380","0.6960","17.51M","4.26%"
"Jul 06, 2023","0.7020","0.7221","0.7540","0.7000","23.16M","-2.79%"
"Jul 05, 2023","0.7221","0.7421","0.7652","0.7080","23.17M","-2.69%"
"Jul 04, 2023","0.7420","0.7680","0.7751","0.7351","17.67M","-3.39%"
"Jul 03, 2023","0.7681","0.7640","0.7730","0.7520","16.76M","0.54%"
"Jul 02, 2023","0.7640","0.7810","0.7872","0.7390","19.37M","-2.07%"
"Jul 01, 2023","0.7801","0.7519","0.8024","0.7361","47.18M","3.75%"
"Jun 30, 2023","0.7519","0.6771","0.7759","0.6720","63.43M","11.05%"
"Jun 29, 2023","0.6771","0.6650","0.6900","0.6650","13.41M","1.82%"
"Jun 28, 2023","0.6650","0.7211","0.7220","0.6544","20.00M","-7.78%"
"Jun 27, 2023","0.7211","0.7170","0.7341","0.7097","11.32M","0.56%"
"Jun 26, 2023","0.7170","0.7220","0.7681","0.6991","25.53M","-0.69%"
"Jun 25, 2023","0.7220","0.7250","0.7500","0.7121","19.53M","-0.41%"
"Jun 24, 2023","0.7250","0.7390","0.7600","0.6989","28.17M","-1.90%"
"Jun 23, 2023","0.7390","0.6780","0.7521","0.6780","36.96M","8.99%"
"Jun 22, 2023","0.6780","0.6810","0.7270","0.6721","34.47M","-0.44%"
"Jun 21, 2023","0.6810","0.6381","0.6870","0.6370","37.16M","6.73%"
"Jun 20, 2023","0.6381","0.6290","0.6431","0.6040","25.27M","1.45%"
"Jun 19, 2023","0.6290","0.6261","0.6310","0.6180","16.41M","0.46%"
"Jun 18, 2023","0.6261","0.6350","0.6391","0.6241","10.33M","-1.41%"
"Jun 17, 2023","0.6350","0.6299","0.6430","0.6251","10.20M","0.81%"
"Jun 16, 2023","0.6299","0.6401","0.6401","0.6051","18.45M","-1.59%"
"Jun 15, 2023","0.6401","0.6371","0.6458","0.6229","14.67M","0.47%"
"Jun 14, 2023","0.6371","0.6750","0.6829","0.6248","19.18M","-5.62%"
"Jun 13, 2023","0.6750","0.6750","0.6922","0.6660","15.58M","0.00%"
"Jun 12, 2023","0.6750","0.6841","0.6841","0.6569","16.28M","-1.34%"
"Jun 11, 2023","0.6841","0.6970","0.6970","0.6742","23.06M","-1.85%"
"Jun 10, 2023","0.6970","0.8960","0.8960","0.6127","110.70M","-22.21%"
"Jun 09, 2023","0.8960","0.8909","0.9030","0.8848","9.86M","0.56%"
"Jun 08, 2023","0.8909","0.8629","0.8979","0.8590","13.42M","3.24%"
"Jun 07, 2023","0.8629","0.8909","0.8920","0.8470","14.72M","-3.04%"
"Jun 06, 2023","0.8900","0.8399","0.8979","0.8310","13.45M","5.96%"
