"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 22, 2023","0.5549","0.5839","0.6019","0.5540","4.11M","-4.96%"
"Jun 21, 2023","0.5839","0.5490","0.5880","0.5460","6.14M","6.36%"
"Jun 20, 2023","0.5490","0.5541","0.5639","0.5190","4.88M","-0.92%"
"Jun 19, 2023","0.5541","0.5449","0.5601","0.5390","1.24M","1.68%"
"Jun 18, 2023","0.5449","0.5678","0.5682","0.5432","1.40M","-4.03%"
"Jun 17, 2023","0.5678","0.5529","0.5751","0.5491","1.94M","2.69%"
"Jun 16, 2023","0.5529","0.5362","0.5629","0.5279","2.12M","3.11%"
"Jun 15, 2023","0.5362","0.5260","0.5471","0.5191","2.08M","1.94%"
"Jun 14, 2023","0.5260","0.5522","0.5578","0.5110","2.84M","-4.74%"
"Jun 13, 2023","0.5522","0.5500","0.5660","0.5431","2.39M","0.40%"
"Jun 12, 2023","0.5500","0.5329","0.5701","0.5151","3.33M","3.21%"
"Jun 11, 2023","0.5329","0.5370","0.5440","0.5232","2.08M","-0.78%"
"Jun 10, 2023","0.5370","0.6620","0.6640","0.4637","6.73M","-18.88%"
"Jun 09, 2023","0.6620","0.6640","0.6739","0.6529","1.51M","-0.30%"
"Jun 08, 2023","0.6640","0.6540","0.6719","0.6429","1.53M","1.53%"
"Jun 07, 2023","0.6540","0.7100","0.7100","0.6489","2.14M","-7.89%"
"Jun 06, 2023","0.7100","0.6819","0.7160","0.6692","2.47M","4.12%"
"Jun 05, 2023","0.6819","0.7829","0.7869","0.6554","4.78M","-12.90%"
"Jun 04, 2023","0.7829","0.7716","0.7982","0.7662","1.25M","1.47%"
"Jun 03, 2023","0.7716","0.7745","0.7818","0.7663","1.17M","-0.37%"
"Jun 02, 2023","0.7745","0.7521","0.7798","0.7444","1.16M","3.07%"
"Jun 01, 2023","0.7514","0.7491","0.7611","0.7395","1.15M","0.30%"
"May 31, 2023","0.7491","0.7971","0.7990","0.7421","2.14M","-6.04%"
"May 30, 2023","0.7973","0.7962","0.8050","0.7852","1.93M","0.15%"
"May 29, 2023","0.7962","0.7989","0.8270","0.7852","3.07M","-0.34%"
"May 28, 2023","0.7989","0.7572","0.8070","0.7505","2.34M","5.51%"
"May 27, 2023","0.7572","0.7612","0.7622","0.7445","1.42M","-0.53%"
"May 26, 2023","0.7612","0.7530","0.7667","0.7432","1.66M","1.09%"
"May 25, 2023","0.7530","0.7570","0.7611","0.7304","2.32M","-0.53%"
"May 24, 2023","0.7570","0.8042","0.8042","0.7482","3.00M","-5.86%"
"May 23, 2023","0.8042","0.7933","0.8132","0.7849","2.20M","1.38%"
"May 22, 2023","0.7932","0.7881","0.7970","0.7731","2.10M","0.65%"
"May 21, 2023","0.7881","0.8066","0.8490","0.7802","4.85M","-2.29%"
"May 20, 2023","0.8066","0.8021","0.8079","0.7935","1.61M","0.56%"
"May 19, 2023","0.8021","0.8081","0.8122","0.7884","2.17M","-0.75%"
"May 18, 2023","0.8081","0.8351","0.8401","0.7881","3.09M","-3.23%"
"May 17, 2023","0.8351","0.7981","0.8360","0.7892","3.51M","4.63%"
"May 16, 2023","0.7981","0.7961","0.8220","0.7800","3.61M","0.26%"
"May 15, 2023","0.7961","0.8310","0.8360","0.7952","4.58M","-4.41%"
"May 14, 2023","0.8328","0.7649","0.8550","0.7540","11.19M","8.89%"
"May 13, 2023","0.7649","0.7840","0.7890","0.7550","3.80M","-2.44%"
"May 12, 2023","0.7840","0.7970","0.7970","0.7457","5.33M","-1.62%"
"May 11, 2023","0.7970","0.8681","0.8681","0.7689","5.22M","-8.20%"
"May 10, 2023","0.8681","0.8831","0.8891","0.8149","7.17M","-1.70%"
